site,title,company,job_url,location,date_posted,search_query,target_region,visa_sponsorship,visa_type
indeed,Informatie Analist - Business Platform Operations,Schiphol,https://nl.indeed.com/viewjob?jk=0ea245f9d00c30c0,"Schiphol, NH, NL",2026-07-08,Data Analyst,Netherlands,N,Not Mentioned
linkedin,Data Analyst,Just Good People,https://www.linkedin.com/jobs/view/4425480200,"The Randstad, Netherlands",2026-07-07,Data Analyst,Netherlands,N,Not Mentioned
linkedin,Data Analyst,Pricewise,https://www.linkedin.com/jobs/view/4435452987,"Amsterdam, North Holland, Netherlands",2026-07-03,Data Analyst,Netherlands,N,Not Mentioned
linkedin,Data-analist,FactX,https://www.linkedin.com/jobs/view/4435527913,"Zwolle, Overijssel, Netherlands",2026-07-01,Data Analyst,Netherlands,N,Not Mentioned
linkedin,Wanted: Data junkie!,Victa - Business Intelligence,https://www.linkedin.com/jobs/view/4318429842,"Borne, Overijssel, Netherlands",2025-10-03,Data Analyst,Netherlands,N,Not Mentioned
linkedin,Data-analist,Seventrees,https://www.linkedin.com/jobs/view/4434855206,"The Randstad, Netherlands",,Data Analyst,Netherlands,N,Not Mentioned
indeed,Staff Android Engineer,Talk360,https://nl.indeed.com/viewjob?jk=47dd86dd71f068cb,"Amsterdam, NH, NL",2026-07-08,Analytics Engineer,Netherlands,N,Not Mentioned
indeed,Senior Service Designer - Platform Engineering,Adyen,https://nl.indeed.com/viewjob?jk=103b8c8df33a3cff,"Amsterdam, NH, NL",2026-07-08,Analytics Engineer,Netherlands,N,Not Mentioned
indeed,Tech Lead – Data & Analytical Engineering,RITUALS COSMETICS,https://nl.indeed.com/viewjob?jk=de4387bbd19b08b8,"Amsterdam, NH, NL",2026-07-08,Analytics Engineer,Netherlands,N,Not Mentioned
indeed,BI Specialist,Leids Universitair Medisch Centrum (LUMC),https://nl.indeed.com/viewjob?jk=3587078fbfedf850,"Leiden, ZH, NL",2026-07-08,Analytics Engineer,Netherlands,N,Not Mentioned
indeed,"Lead Data Engineer – AWS, Databricks & Graph Technologies",CGI,https://nl.indeed.com/viewjob?jk=ecd77e753b65574a,"Eindhoven, NB, NL",2026-06-16,Analytics Engineer,Netherlands,N,Not Mentioned
linkedin,Data & Analytics Engineer,Klimaatroute,https://www.linkedin.com/jobs/view/4437150705,"Amsterdam, North Holland, Netherlands",2026-07-06,Analytics Engineer,Netherlands,N,Not Mentioned
linkedin,Analytics Engineer,Floryn,https://www.linkedin.com/jobs/view/4432606184,"’s-Hertogenbosch, North Brabant, Netherlands",2026-06-25,Analytics Engineer,Netherlands,N,Not Mentioned
linkedin,Analytics Engineer,Protolabs,https://www.linkedin.com/jobs/view/4412572088,"Amsterdam, North Holland, Netherlands",2026-06-23,Analytics Engineer,Netherlands,N,Not Mentioned
linkedin,Data Analytics Engineer,Xomnia,https://www.linkedin.com/jobs/view/4356760569,"Amsterdam, North Holland, Netherlands",2026-06-19,Analytics Engineer,Netherlands,N,Not Mentioned
linkedin,Analytics Engineer,Coolblue,https://www.linkedin.com/jobs/view/4425472348,"Rotterdam, South Holland, Netherlands",2026-06-08,Analytics Engineer,Netherlands,N,Not Mentioned
indeed,Projectmanager ICT,SSC-ICT (Ministerie van BZK),https://nl.indeed.com/viewjob?jk=d2bdaf362ef82b37,"Den Haag, ZH, NL",2026-07-08,Business Intelligence,Netherlands,N,Not Mentioned
indeed,Senior Data Scientist I,Elsevier,https://nl.indeed.com/viewjob?jk=5db7275d97c8f3fb,"Amsterdam, NH, NL",2026-07-08,Business Intelligence,Netherlands,N,Not Mentioned
indeed,Internship - System Innovations Automotive,NXP Semiconductors,https://nl.indeed.com/viewjob?jk=51f7ab0737c71d3d,"Eindhoven, NB, NL",2026-07-08,Business Intelligence,Netherlands,N,Not Mentioned
